sample_id,filename,fold,target,category,esc10,noise_type,noise_level_db,exposure_duration_hours,hour_of_day,day_of_week,hrv_score,sleep_quality_score,stress_level,cognitive_impact,fatigue_level,mental_health_impact,risk_category
1-100032-A-0,1-100032-A-0.wav,1,0,dog,True,natural,90.8,1.33,8,2,88.57,8.36,1.16,1.0,1.23,3.55,Low
1-100038-A-14,1-100038-A-14.wav,1,14,chirping_birds,False,natural,39.66,1.68,20,6,90.47,7.64,1.21,1.0,1.0,6.61,Low
1-100210-A-36,1-100210-A-36.wav,1,36,vacuum_cleaner,False,human_activity,88.2,0.67,2,3,69.45,8.6,1.0,1.0,1.0,4.57,Low
1-100210-B-36,1-100210-B-36.wav,1,36,vacuum_cleaner,False,human_activity,83.4,8.09,9,1,83.04,8.45,1.38,2.94,1.53,12.2,Low
1-101296-A-19,1-101296-A-19.wav,1,19,thunderstorm,False,natural,96.4,0.77,10,4,80.48,8.72,1.15,1.0,1.09,7.22,Low
1-101296-B-19,1-101296-B-19.wav,1,19,thunderstorm,False,natural,99.31,0.25,7,0,80.65,7.75,1.59,1.0,1.94,9.31,Low
1-101336-A-30,1-101336-A-30.wav,1,30,door_wood_knock,False,human_activity,63.6,1.64,20,5,81.85,8.25,1.26,1.76,1.0,8.31,Low
1-101404-A-34,1-101404-A-34.wav,1,34,can_opening,False,human_activity,39.12,0.22,22,5,86.89,8.93,1.0,1.0,1.0,0.75,Low
1-103298-A-9,1-103298-A-9.wav,1,9,crow,False,natural,66.04,0.58,6,3,88.93,8.15,1.0,1.15,1.61,10.47,Low
1-103995-A-30,1-103995-A-30.wav,1,30,door_wood_knock,False,human_activity,58.97,1.49,7,4,83.49,9.09,1.0,1.3,1.48,0.0,Low
1-103999-A-30,1-103999-A-30.wav,1,30,door_wood_knock,False,human_activity,76.91,0.59,21,4,79.46,8.79,1.0,1.0,1.94,9.63,Low
1-104089-A-22,1-104089-A-22.wav,1,22,clapping,False,human_activity,78.76,4.16,11,1,77.61,6.58,1.64,2.5,1.04,20.37,Low
1-104089-B-22,1-104089-B-22.wav,1,22,clapping,False,human_activity,80.82,1.31,14,6,77.74,7.84,1.0,1.32,1.32,6.86,Low
1-105224-A-22,1-105224-A-22.wav,1,22,clapping,False,human_activity,62.42,3.94,16,2,82.38,7.97,1.4,1.51,1.0,3.19,Low
1-110389-A-0,1-110389-A-0.wav,1,0,dog,True,natural,82.42,0.85,13,2,86.06,8.69,1.04,1.0,1.0,6.22,Low
1-110537-A-22,1-110537-A-22.wav,1,22,clapping,False,human_activity,68.36,0.56,5,6,91.27,8.42,1.18,1.0,1.7,5.23,Low
1-115521-A-19,1-115521-A-19.wav,1,19,thunderstorm,False,natural,94.6,1.89,7,1,79.27,8.37,1.81,1.11,1.78,9.13,Low
1-115545-A-48,1-115545-A-48.wav,1,48,fireworks,False,human_activity,117.91,0.82,23,4,82.46,8.52,2.95,2.67,1.27,16.42,Low
1-115545-B-48,1-115545-B-48.wav,1,48,fireworks,False,human_activity,119.59,0.98,12,4,86.27,7.41,2.44,1.69,2.26,17.0,Low
1-115545-C-48,1-115545-C-48.wav,1,48,fireworks,False,human_activity,109.74,1.88,19,0,64.54,7.55,2.51,1.81,2.75,19.45,Low
1-115546-A-48,1-115546-A-48.wav,1,48,fireworks,False,human_activity,125.66,0.71,19,2,78.14,8.08,1.0,2.06,1.36,13.53,Low
1-115920-A-22,1-115920-A-22.wav,1,22,clapping,False,human_activity,76.51,0.59,13,2,87.66,9.2,1.0,1.0,1.84,4.84,Low
1-115920-B-22,1-115920-B-22.wav,1,22,clapping,False,human_activity,75.84,0.68,10,5,76.59,6.98,1.21,1.0,1.0,10.05,Low
1-115921-A-22,1-115921-A-22.wav,1,22,clapping,False,human_activity,63.41,1.19,19,1,84.18,9.24,1.87,1.14,1.1,7.71,Low
1-116765-A-41,1-116765-A-41.wav,1,41,chainsaw,True,construction,122.58,8.66,6,5,20.0,3.73,10.0,10.0,8.43,100.0,Severe
1-11687-A-47,1-11687-A-47.wav,1,47,airplane,False,aircraft,100.71,0.4,9,6,83.16,6.63,1.0,1.73,2.31,13.46,Low
1-118206-A-31,1-118206-A-31.wav,1,31,mouse_click,False,human_activity,26.89,0.48,9,1,79.56,10.0,1.0,1.0,1.0,0.0,Low
1-118559-A-17,1-118559-A-17.wav,1,17,pouring_water,False,natural,43.14,0.27,9,1,93.19,8.68,1.0,1.0,1.0,2.78,Low
1-119125-A-45,1-119125-A-45.wav,1,45,train,False,traffic,97.16,0.94,21,6,75.0,8.26,1.16,1.38,1.71,10.84,Low
1-121951-A-8,1-121951-A-8.wav,1,8,sheep,False,natural,62.14,2.92,23,6,87.23,8.56,1.0,1.88,1.0,2.18,Low
1-12653-A-15,1-12653-A-15.wav,1,15,water_drops,False,natural,25.0,0.61,2,2,91.12,7.58,1.0,1.0,1.0,3.55,Low
1-12654-A-15,1-12654-A-15.wav,1,15,water_drops,False,natural,42.23,0.72,14,3,80.42,8.57,1.21,1.45,1.0,5.21,Low
1-12654-B-15,1-12654-B-15.wav,1,15,water_drops,False,natural,39.97,2.93,3,3,86.6,9.22,1.94,1.0,1.0,1.56,Low
1-13571-A-46,1-13571-A-46.wav,1,46,church_bells,False,human_activity,91.55,0.25,14,2,85.29,8.01,1.84,1.0,1.0,8.85,Low
1-13572-A-46,1-13572-A-46.wav,1,46,church_bells,False,human_activity,77.35,1.79,6,5,81.67,8.15,1.87,1.33,1.0,10.3,Low
1-13613-A-37,1-13613-A-37.wav,1,37,clock_alarm,False,human_activity,85.46,3.19,17,3,77.83,8.06,1.0,2.06,1.23,11.03,Low
1-137-A-32,1-137-A-32.wav,1,32,keyboard_typing,False,human_activity,37.81,0.62,4,3,81.01,8.23,1.0,1.0,1.43,4.65,Low
1-137296-A-16,1-137296-A-16.wav,1,16,wind,False,natural,62.27,3.67,21,5,87.75,8.3,1.63,1.14,1.0,9.21,Low
1-14262-A-37,1-14262-A-37.wav,1,37,clock_alarm,False,human_activity,73.78,0.33,6,2,82.89,7.96,1.0,1.72,1.0,7.0,Low
1-155858-A-25,1-155858-A-25.wav,1,25,footsteps,False,human_activity,43.62,0.45,7,2,79.63,7.27,1.15,1.0,1.31,3.58,Low
1-155858-B-25,1-155858-B-25.wav,1,25,footsteps,False,human_activity,64.56,1.28,21,1,81.33,8.61,1.63,1.0,1.0,9.33,Low
1-155858-C-25,1-155858-C-25.wav,1,25,footsteps,False,human_activity,56.09,7.21,23,3,87.29,8.58,1.0,1.23,1.0,6.49,Low
1-155858-D-25,1-155858-D-25.wav,1,25,footsteps,False,human_activity,51.81,3.36,23,1,88.08,8.31,1.0,1.4,1.0,8.5,Low
1-155858-E-25,1-155858-E-25.wav,1,25,footsteps,False,human_activity,54.94,1.96,15,5,81.64,8.31,1.0,1.0,1.0,5.22,Low
1-155858-F-25,1-155858-F-25.wav,1,25,footsteps,False,human_activity,53.98,0.51,16,6,83.09,9.64,1.64,1.0,1.49,2.8,Low
1-15689-A-4,1-15689-A-4.wav,1,4,frog,False,natural,53.67,4.28,2,1,76.96,8.92,1.61,1.84,1.0,2.92,Low
1-15689-B-4,1-15689-B-4.wav,1,4,frog,False,natural,46.04,0.17,6,2,84.19,7.47,1.0,1.13,1.32,3.79,Low
1-160563-A-48,1-160563-A-48.wav,1,48,fireworks,False,human_activity,128.74,1.0,13,5,74.59,7.9,2.5,1.55,1.3,19.14,Low
1-160563-B-48,1-160563-B-48.wav,1,48,fireworks,False,human_activity,116.18,6.28,6,3,70.54,7.45,2.66,3.67,2.76,36.59,Moderate
1-16568-A-3,1-16568-A-3.wav,1,3,cow,False,natural,81.27,0.14,13,3,87.89,7.82,1.51,1.69,1.5,6.98,Low
1-16746-A-15,1-16746-A-15.wav,1,15,water_drops,False,natural,36.65,11.71,18,1,85.64,9.37,1.43,1.0,1.0,0.04,Low
